Designator,Val,Package,Mid X,Mid Y,Rotation,Side
SW4,PTS 647 SN50 SMTR2 LFS,PTS 647 SN50 SMTR2 LFS,171.31875,-85.68875,0,top
SW9,PTS 647 SN50 SMTR2 LFS,PTS 647 SN50 SMTR2 LFS,123.8,-121.5,0,top
SW10,PTS 647 SN50 SMTR2 LFS,PTS 647 SN50 SMTR2 LFS,123.8,-131.5,0,top
SW11,PTS 647 SN50 SMTR2 LFS,PTS 647 SN50 SMTR2 LFS,170,-111.5,0,top
SW12,PTS 647 SN50 SMTR2 LFS,PTS 647 SN50 SMTR2 LFS,170,-121.5,0,top
SW13,PTS 647 SN50 SMTR2 LFS,PTS 647 SN50 SMTR2 LFS,170,-131.5,0,top
SW14,PTS 647 SN50 SMTR2 LFS,PTS 647 SN50 SMTR2 LFS,123.8,-111.5,0,top
U1,RP2350_60QFN,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias_NEW,144.2,-104.3775,180,top
U2,W25Q128JVS,SOIC_128JVSIQ_WIN,153.3875,-116.3475,180,top
U3,TPS62811QWRWYRQ1,RWY0009A,137.492701,-125.9668,-90,top
U4,MCP73812T-420I-OT,SOT-23-5,135.5527,-135.7677,0,top
U5,TLV3012AIDCKR,DCK6,133.1125,-119.9975,0,top
U6,74HC14,SN74HC14DR_D14,169.2525,-97.5638,-90,top
U7,~,SX1262_QFN24_4X4_SEM,145.6375,-72.62,0,top
U8,~,PE4259_RF_SW,144.8875,-56.12,90,top
X1,ABM8-272-T3,ABM8-272-T3_ABR,147.2375,-93.8475,-90,top
X2,NX2016SA-32M-EXS00A-CS06465,NX2016SA_NDK,134.22,-72.6325,180,top
